Id,Subject,Prof list,Course Duration Type,Compulsory Student Groups,Expected Students,Category
0,"Introduction to Software Systems","0,1",1,"CSEUG1,CSDUG1,CNDUG1,CLDUG1,CHDUG1",200,-1
1,"Data Structures and Algorithms (Section A)","2,3,4",0,"CSEUG1,CSDUG1,CNDUG1",150,-1
2,"Data Structures and Algorithms (Section B)","2,3,4",0,"ECEUG1,ECDUG1,CHDUG1,CLDUG1",150,-1
3,"Computer Systems Organization","5,6",0,"CSEUG1,CSDUG1,CLDUG1,CNDUG2,CHDUG2",200,-1
4,"Introduction to IoT","7,8",0,"CSEUG1, CSDUG1", 100, -1
5,"Linear Algebra (Section A)","9,10",0,"CSEUG1,CSDUG1,CNDUG1",150,-1
6,"Linear Algebra (Section B)","9,10",0,"ECEUG1,ECDUG1,CHDUG1,CLDUG1",150,-1
7,"Analog Electronic Circuits","13",0,"ECEUG1,ECDUG1",100,-1
8,"Information and Communication","14,15",0,"ECEUG1,ECDUG1",100,-1
9,"Computing in Sciences II","16",2,"CNDUG1",15,-1
10,"Classical Mechanics","17",1,"CNDUG1",15,-1
11,"Electrodynamics","17",2,"CNDUG1",15,-1
12,"General and Structural Chemistry","18",0,"CNDUG1",15,-1
13,"Introduction to Linguistics II","19,20",0,"CLDUG1",15,-1
14,"Computational Linguistics 1","21,22",0,"CLDUG1",15,-1
15,"Making of the Contemporary World","23,24",0,"CHDUG1",15,-1
16,"Thinking and Knowing in the Human Sciences I","25,26",0,"CHDUG1",15,-1
17,"Design and Analysis of Software Systems","27,28",0,"CSEUG2,CSDUG2,CNDUG2,CLDUG2,CHDUG2,LCDUG2",200,-1
18,"Machine, Data and Learning","29",0,"CSEUG2,CSDUG2,CNDUG2,CLDUG2,CHDUG2,LCDUG2",200,-1
19,"Intro to Human Sciences","26,30",0,"CSEUG2,CSDUG2,CNDUG3,CLDUG2,ECEUG2,ECDUG2,LCDUG2,LEDUG2",250,-1
